NAMESPACE	POD	CONTAINER	MEM-Q1
backoffice-prd	oossacl-backend-7-nnwsw	oossacl-backend	103321600
backoffice-prd	oossacl-backend-7-mzsw5	oossacl-backend	88489984
backoffice-prd	backoffice-frontend-prod-41-d6wf7	backoffice-frontend-prod	95670272
backoffice-prd	backoffice-frontend-prod-41-ts2z6	backoffice-frontend-prod	92610560
backoffice-prd	backoffice-frontend-prod-41-5vkhm	backoffice-frontend-prod	100343808
backoffice-prd	bofjee-2-68k72	bofjee	0
backoffice-prd	oossacl-backend-7-jfssc	oossacl-backend	132954112
backoffice-prd	oossacl-backend-7-45pvg	oossacl-backend	103313408
backoffice-prd	backoffice-backend-12-r5qbx	backoffice-backend	117833728
backoffice-prd	backoffice-frontend-prod-41-mln7r	backoffice-frontend-prod	95584256
backoffice-prd	backoffice-frontend-prod-41-p6j94	backoffice-frontend-prod	90427392
backoffice-prd	oossacl-backend-7-hr99c	oossacl-backend	103366656
backoffice-prd	oossacl-backend-7-qkxbn	oossacl-backend	133020672
backoffice-prd	oossacl-backend-7-mc9q7	oossacl-backend	103305216
backoffice-prd	oossacl-backend-7-nwzzf	oossacl-backend	103305216
backoffice-prd	oossacl-backend-7-57nhb	oossacl-backend	103205888
backoffice-prd	oossacl-backend-7-mrzd6	oossacl-backend	132960256
backoffice-prd	backoffice-frontend-prod-41-66xjs	backoffice-frontend-prod	89108480
backoffice-prd	backoffice-frontend-prod-41-kmxg9	backoffice-frontend-prod	103600128
backoffice-prd	backoffice-frontend-prod-41-nfk97	backoffice-frontend-prod	88784896
backoffice-prd	backoffice-frontend-prod-41-fq2jp	backoffice-frontend-prod	95969280
backoffice-prd	oossacl-backend-7-cnrqc	oossacl-backend	132913152
backoffice-prd	backoffice-backend-12-t5lvt	backoffice-backend	116177920
backoffice-prd	claveunica-backoffice-19-tcl8r	claveunica-backoffice	225632256
backoffice-prd	oossacl-backend-7-cjljd	oossacl-backend	103284736
backoffice-prd	oossacl-backend-7-jrfdw	oossacl-backend	132943872
backoffice-prd	oossacl-backend-7-mg2b2	oossacl-backend	103323648
backoffice-prd	backoffice-frontend-prod-41-s7fdg	backoffice-frontend-prod	95629312
backoffice-prd	backoffice-frontend-prod-41-2p8tb	backoffice-frontend-prod	94715904
backoffice-prd	gateway-23-ng8m9	gateway	175841280
backoffice-prd	oossacl-backend-7-k9hz9	oossacl-backend	103426048
backoffice-prd	backoffice-frontend-prod-41-szwr7	backoffice-frontend-prod	67336192
backoffice-prd	backoffice-frontend-prod-41-zsg7t	backoffice-frontend-prod	88793088
backoffice-prd	oossacl-backend-7-x6h6b	oossacl-backend	103309312
backoffice-prd	oossacl-backend-7-gvjw7	oossacl-backend	103303168
backoffice-prd	oossacl-backend-7-vqq4d	oossacl-backend	103278592
backoffice-prd	backoffice-frontend-prod-41-tzg8p	backoffice-frontend-prod	88457216
backoffice-prd	backoffice-frontend-prod-41-kqbls	backoffice-frontend-prod	95637504
backoffice-prd	backoffice-frontend-prod-41-mtnkf	backoffice-frontend-prod	93036544
